                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1825,                 1.3983,                 1.2151,                0.53772,                0.41616,                0.43304,                0.29367,                 1.2248,                 1.4324,                 1.2251,              0.0033329,              0.0033329,              0.0033329
                      2,                 1.3234,                 1.7324,                 1.3163,                 0.5382,                0.38402,                0.40824,                0.27483,                 1.2595,                 1.4988,                 1.2538,              0.0060063,              0.0060063,              0.0060063
                      3,                 1.4212,                  1.963,                 1.3925,                 0.5248,                0.36699,                0.38623,                0.26137,                 1.2668,                   1.55,                 1.2764,              0.0080196,              0.0080196,              0.0080196
                      4,                 1.4224,                 1.9623,                 1.4002,                0.55053,                0.37555,                0.40263,                0.27511,                 1.2473,                 1.5009,                 1.2642,                0.00703,                0.00703,                0.00703
                      5,                 1.3584,                 1.8054,                 1.3547,                0.55822,                0.39564,                0.42272,                0.29193,                 1.2202,                 1.4398,                 1.2441,                0.00604,                0.00604,                0.00604
                      6,                 1.3157,                 1.7027,                 1.3248,                0.56851,                0.40548,                0.43635,                0.30252,                 1.2052,                 1.4039,                 1.2325,                0.00505,                0.00505,                0.00505
                      7,                 1.2806,                 1.6131,                  1.297,                0.56225,                0.41891,                0.44518,                0.30955,                 1.1946,                 1.3796,                 1.2236,                0.00406,                0.00406,                0.00406
                      8,                 1.2476,                 1.5353,                 1.2736,                0.57444,                0.42168,                0.45244,                0.31572,                 1.1863,                 1.3609,                 1.2166,                0.00307,                0.00307,                0.00307
                      9,                 1.2182,                 1.4648,                 1.2521,                0.58381,                0.42373,                0.45793,                0.32025,                 1.1808,                 1.3455,                 1.2117,                0.00208,                0.00208,                0.00208
                     10,                 1.1866,                 1.3932,                 1.2308,                0.58478,                0.43046,                0.46313,                0.32451,                 1.1757,                 1.3329,                 1.2071,                0.00109,                0.00109,                0.00109
